Dataset;#TrainingRelease;Classifier;Precision;Recall;AUC;Kappa
AVRO;1;weka.classifiers.bayes.NaiveBayes;NaN;0.0;0.44047619047619047;0.0
AVRO;1;weka.classifiers.trees.RandomForest;NaN;0.0;0.47023809523809523;0.0
AVRO;1;weka.classifiers.lazy.IBk;NaN;0.0;0.48677248677248675;0.0
AVRO;2;weka.classifiers.bayes.NaiveBayes;NaN;0.0;0.9689366786140979;0.0
AVRO;2;weka.classifiers.trees.RandomForest;NaN;0.0;0.7031063321385902;0.0
AVRO;2;weka.classifiers.lazy.IBk;0.3333333333333333;0.037037037037037035;0.6126377273330679;0.04990019960079791
AVRO;3;weka.classifiers.bayes.NaiveBayes;0.0694980694980695;1.0;0.61810551558753;0.018329938900203645
AVRO;3;weka.classifiers.trees.RandomForest;0.08178438661710037;0.6111111111111112;0.6637939648281375;0.04144126259367709
AVRO;3;weka.classifiers.lazy.IBk;0.10130718954248366;0.5740740740740741;0.6673216981969979;0.07678137821317926
AVRO;4;weka.classifiers.bayes.NaiveBayes;NaN;0.0;0.8918918918918919;0.0
AVRO;4;weka.classifiers.trees.RandomForest;NaN;0.0;0.6976351351351351;0.0
AVRO;4;weka.classifiers.lazy.IBk;NaN;0.0;0.683933933933934;0.0
AVRO;5;weka.classifiers.bayes.NaiveBayes;0.0;0.0;0.3418803418803419;-0.019230769230770096
AVRO;5;weka.classifiers.trees.RandomForest;0.25;0.16666666666666666;0.5753205128205128;0.18773946360153201
AVRO;5;weka.classifiers.lazy.IBk;0.14285714285714285;0.2222222222222222;0.6064814814814815;0.1544920235096554
AVRO;6;weka.classifiers.bayes.NaiveBayes;0.21428571428571427;0.6;0.9530120481927711;0.28497909295593393
AVRO;6;weka.classifiers.trees.RandomForest;0.3125;0.5;0.9587349397590361;0.3616425571628561
AVRO;6;weka.classifiers.lazy.IBk;0.3684210526315789;0.4666666666666667;0.8774431057563588;0.39189189189189155
AVRO;7;weka.classifiers.bayes.NaiveBayes;0.375;0.375;0.9032534246575342;0.32933789954337905
AVRO;7;weka.classifiers.trees.RandomForest;0.45;0.28125;0.8753567351598174;0.3100172711571676
AVRO;7;weka.classifiers.lazy.IBk;0.42857142857142855;0.25;0.7974695585996956;0.2796510257014852
AVRO;8;weka.classifiers.bayes.NaiveBayes;0.3157894736842105;0.6666666666666666;0.9570048309178744;0.3977952755905514
AVRO;8;weka.classifiers.trees.RandomForest;0.3181818181818182;0.3888888888888889;0.9584541062801932;0.32191182889567915
AVRO;8;weka.classifiers.lazy.IBk;0.21052631578947367;0.2962962962962963;0.8282071926999464;0.21143357349673395
AVRO;9;weka.classifiers.bayes.NaiveBayes;0.30434782608695654;0.45161290322580644;0.9117761368052857;0.31572556162720095
AVRO;9;weka.classifiers.trees.RandomForest;0.36538461538461536;0.3064516129032258;0.8892586474931986;0.2956798990925337
AVRO;9;weka.classifiers.lazy.IBk;0.42424242424242425;0.3010752688172043;0.8234731038850743;0.3190742198727798
AVRO;10;weka.classifiers.bayes.NaiveBayes;0.25;0.8571428571428571;0.945474372955289;0.361364488316881
AVRO;10;weka.classifiers.trees.RandomForest;0.2222222222222222;0.42857142857142855;0.9157579062159215;0.26758050887240653
AVRO;10;weka.classifiers.lazy.IBk;0.13636363636363635;0.2857142857142857;0.7449109414758269;0.15484023949256062
AVRO;11;weka.classifiers.bayes.NaiveBayes;0.4117647058823529;0.7777777777777778;0.9497863247863247;0.49576783555018117
AVRO;11;weka.classifiers.trees.RandomForest;0.46153846153846156;0.5;0.9356303418803419;0.4424560320888612
AVRO;11;weka.classifiers.lazy.IBk;0.42105263157894735;0.4444444444444444;0.8272317188983855;0.39200166631951705
AVRO;12;weka.classifiers.bayes.NaiveBayes;0.0;NaN;NaN;0.0
AVRO;12;weka.classifiers.trees.RandomForest;0.0;NaN;NaN;0.0
AVRO;12;weka.classifiers.lazy.IBk;0.0;NaN;NaN;0.0
AVRO;13;weka.classifiers.bayes.NaiveBayes;0.0;0.0;0.5155709342560554;-0.010416666666666326
AVRO;13;weka.classifiers.trees.RandomForest;0.14285714285714285;0.25;0.7608131487889274;0.17459817207690354
AVRO;13;weka.classifiers.lazy.IBk;0.14285714285714285;0.16666666666666666;0.719915417147251;0.14753661784288238
AVRO;14;weka.classifiers.bayes.NaiveBayes;0.14285714285714285;0.42857142857142855;0.9115867845509539;0.187102847728878
AVRO;14;weka.classifiers.trees.RandomForest;0.16666666666666666;0.2857142857142857;0.9175197766402978;0.18765091410831264
AVRO;14;weka.classifiers.lazy.IBk;0.16129032258064516;0.23809523809523808;0.8401840649397653;0.17025292563231376
AVRO;15;weka.classifiers.bayes.NaiveBayes;0.09090909090909091;0.25;0.9483870967741935;0.11683254002596277
AVRO;15;weka.classifiers.trees.RandomForest;0.09090909090909091;0.125;0.947983870967742;0.09186798230690524
AVRO;15;weka.classifiers.lazy.IBk;0.09090909090909091;0.08333333333333333;0.8725806451612903;0.07569386038688114
AVRO;16;weka.classifiers.bayes.NaiveBayes;0.44;0.55;0.9503389830508474;0.450094876660342
AVRO;16;weka.classifiers.trees.RandomForest;0.4666666666666667;0.35;0.9599576271186441;0.36546762589928083
AVRO;16;weka.classifiers.lazy.IBk;0.3783783783783784;0.23333333333333334;0.8708851224105462;0.2524505588993987
