Dataset;#TrainingRelease;Classifier;Precision;Recall;AUC;Kappa
AVRO;1;NaiveBayes;0.0;0.0;0.33054464164747327;0.0;
AVRO;1;IBk;0.0;0.0;0.5;0.0;
AVRO;1;RandomForest;0.0;0.0;0.5;0.0;
AVRO;2;NaiveBayes;0.5714285714285714;0.045454545454545456;0.5558484848484848;0.057820503824293205;
AVRO;2;IBk;0.41935483870967744;0.29545454545454547;0.6053636363636363;0.22487956541050236;
AVRO;2;RandomForest;0.8235294117647058;0.1590909090909091;0.843939393939394;0.21857396488613204;
AVRO;3;NaiveBayes;0.0;0.0;NaN;1.0;
AVRO;3;IBk;0.0;0.0;NaN;0.0;
AVRO;3;RandomForest;0.0;0.0;NaN;1.0;
AVRO;4;NaiveBayes;0.125;0.08333333333333333;0.8952216465169833;0.08513931888544975;
AVRO;4;IBk;0.07894736842105263;0.5;0.690846286701209;0.10497369679579142;
AVRO;4;RandomForest;0.25;0.5;0.8808290155440415;0.31478260869565217;
AVRO;5;NaiveBayes;0.7333333333333333;0.21153846153846154;0.9518043684710351;0.3021070829053195;
AVRO;5;IBk;0.7857142857142857;0.21153846153846154;0.6045143128476462;0.3086958728869481;
AVRO;5;RandomForest;0.8;0.23076923076923078;0.9560778727445394;0.3331245458873055;
AVRO;6;NaiveBayes;0.42857142857142855;0.17647058823529413;0.9438502673796791;0.23847048184988898;
AVRO;6;IBk;0.14285714285714285;0.4117647058823529;0.6729669924396091;0.18054085266095596;
AVRO;6;RandomForest;0.5;0.35294117647058826;0.9537156555412134;0.40092537795233335;
AVRO;7;NaiveBayes;0.0;0.0;NaN;1.0;
AVRO;7;IBk;0.0;0.0;NaN;1.0;
AVRO;7;RandomForest;0.0;0.0;NaN;1.0;
AVRO;8;NaiveBayes;0.0;0.0;NaN;1.0;
AVRO;8;IBk;0.0;0.0;NaN;1.0;
AVRO;8;RandomForest;0.0;0.0;NaN;1.0;
AVRO;9;NaiveBayes;0.0;0.0;NaN;1.0;
AVRO;9;IBk;0.0;0.0;NaN;1.0;
AVRO;9;RandomForest;0.0;0.0;NaN;1.0;
AVRO;10;NaiveBayes;0.0;0.0;NaN;1.0;
AVRO;10;IBk;0.0;0.0;NaN;1.0;
AVRO;10;RandomForest;0.0;0.0;NaN;1.0;
AVRO;11;NaiveBayes;0.0;0.0;NaN;1.0;
AVRO;11;IBk;0.0;0.0;NaN;1.0;
AVRO;11;RandomForest;0.0;0.0;NaN;1.0;
AVRO;12;NaiveBayes;0.0;0.0;NaN;1.0;
AVRO;12;IBk;0.0;0.0;NaN;1.0;
AVRO;12;RandomForest;0.0;0.0;NaN;1.0;
AVRO;13;NaiveBayes;0.0;0.0;NaN;1.0;
AVRO;13;IBk;0.0;0.0;NaN;1.0;
AVRO;13;RandomForest;0.0;0.0;NaN;1.0;
AVRO;14;NaiveBayes;0.0;0.0;NaN;1.0;
AVRO;14;IBk;0.0;0.0;NaN;1.0;
AVRO;14;RandomForest;0.0;0.0;NaN;1.0;
AVRO;15;NaiveBayes;0.0;0.0;NaN;1.0;
AVRO;15;IBk;0.0;0.0;NaN;1.0;
AVRO;15;RandomForest;0.0;0.0;NaN;1.0;
