Release,Filename,LOC,NR,nAuth,locTouched,locAdded,max_locAdded,avg_locAdded,churn,max_churn,avg_churn,chgSetSize,max_chgSetSize,avg_chgSetSize,Buggy
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,121,4,2,333,235,137,18,546,137,137.0,559,281,140,N
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,215,5,2,436,340,252,5,1237,252,247.0,560,281,112,N
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,950,15,3,1466,1246,545,9,11372,1026,758.0,469,171,34,Y
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,78,4,3,150,121,81,5,335,92,84.0,259,171,86,Y
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,170,5,2,210,195,168,13,856,180,171.0,236,171,59,N
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,441,10,3,795,633,487,15,4890,506,489.0,416,171,46,Y
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,185,6,3,216,210,124,14,911,204,152.0,346,171,69,Y
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,516,8,3,691,621,536,12,4324,554,541.0,412,171,59,Y
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,132,6,3,187,168,133,8,845,149,141.0,399,171,80,Y
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,152,4,3,171,164,151,23,610,157,153.0,275,171,92,N
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,124,2,1,147,147,147,147,294,147,147.0,61,61,61,N
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,123,6,3,401,269,126,21,804,139,134.0,269,171,54,N
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,241,5,3,289,280,249,16,1277,271,255.0,266,171,67,Y
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,495,10,3,1532,1040,410,12,4878,548,488.0,471,171,52,Y
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,694,6,2,1134,931,714,18,4574,805,762.0,223,97,37,Y
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,174,5,2,219,212,204,30,1021,205,204.0,336,171,84,N
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java,42,3,2,56,53,50,13,150,50,50.0,232,171,116,N
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java,148,6,3,229,207,184,10,1105,185,184.0,352,171,70,Y
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java,55,4,3,71,66,61,11,244,61,61.0,250,171,83,Y
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java,139,9,3,263,210,167,8,1500,169,167.0,446,171,56,Y
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java,71,5,3,103,92,80,8,402,81,80.0,364,171,91,N
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java,71,4,2,182,133,83,9,333,84,83.0,329,171,110,N
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,674,13,3,2162,1462,547,12,8919,766,686.0,488,171,41,Y
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,215,8,3,328,288,198,9,1809,250,226.0,376,171,54,Y
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java,153,10,3,295,232,140,6,1548,170,155.0,454,171,50,Y
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java,167,7,3,252,224,178,10,1293,196,185.0,372,171,62,Y
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java,53,5,3,85,76,67,10,335,67,67.0,254,171,64,N
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java,141,5,3,199,182,138,9,743,165,149.0,356,171,89,Y
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java,144,5,3,213,193,170,9,855,173,171.0,356,171,89,Y
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java,91,6,2,151,127,101,6,607,103,101.0,305,171,51,Y
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java,70,1,1,78,78,78,78,78,78,78.0,27,27,27,N
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java,69,3,2,89,88,87,44,261,87,87.0,232,171,116,Y
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java,71,3,2,87,86,85,43,255,85,85.0,232,171,116,N
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java,93,2,1,107,106,61,27,166,105,83.0,78,43,39,N
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java,195,4,2,232,224,216,25,864,216,216.0,51,43,13,Y
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java,341,4,2,417,397,377,22,1508,377,377.0,51,43,13,Y
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java,232,2,1,257,255,251,85,504,253,252.0,39,35,20,N
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java,174,1,1,193,193,193,193,193,193,193.0,35,35,35,Y
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java,477,1,1,514,514,514,514,514,514,514.0,35,35,35,Y
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerLayout.java,175,1,1,204,204,204,204,204,204,204.0,35,35,35,N
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java,130,1,1,144,144,144,144,144,144,144.0,35,35,35,Y
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java,91,1,1,98,98,98,98,98,98,98.0,35,35,35,N
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java,157,8,3,225,203,178,10,1428,181,179.0,404,171,58,Y
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java,137,5,3,170,162,75,14,522,154,104.0,266,171,67,Y
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,355,12,3,585,489,209,7,3467,393,289.0,449,171,41,Y
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java,114,4,3,146,139,66,12,303,132,76.0,267,171,89,N
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java,468,9,3,579,556,521,26,4726,533,525.0,412,171,52,N
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,509,10,3,763,683,573,10,5829,603,583.0,413,171,46,Y
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java,121,2,1,148,148,148,148,296,148,148.0,61,61,61,Y
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java,164,4,2,194,184,173,17,693,174,173.0,329,171,110,N
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java,137,4,2,168,158,147,14,589,148,147.0,329,171,110,N
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,83,7,3,1576,834,763,17,4003,766,572.0,360,171,60,N
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java,207,7,3,650,442,209,8,1511,234,216.0,417,171,70,Y
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Main.java,47,4,3,64,59,54,10,216,54,54.0,267,171,89,N
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/MathUtils.java,30,3,2,48,43,38,9,114,38,38.0,232,171,116,Y
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java,83,3,2,106,102,98,20,294,98,98.0,232,171,116,N
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java,32,4,2,59,49,38,5,153,39,38.0,329,171,110,N
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java,59,4,3,127,98,94,14,351,94,88.0,267,171,89,N
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java,83,1,1,94,94,94,94,94,94,94.0,35,35,35,Y
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieLayoutVersionTest.java,237,3,1,321,291,246,16,767,261,256.0,49,43,16,Y
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/EntryLogTest.java,81,1,1,90,90,90,90,90,90,90.0,2,2,2,Y
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookKeeperTestClient.java,64,4,2,77,74,61,11,263,71,66.0,165,97,41,N
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookieRecoveryTest.java,549,11,3,839,728,400,7,5525,620,502.0,205,97,41,Y
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/LedgerCacheTest.java,123,8,2,193,166,131,7,1069,139,134.0,193,97,48,N
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestFencing.java,310,3,1,351,348,343,70,1032,345,344.0,74,43,25,Y
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalAsyncLedgerOpsTest.java,40,1,1,47,47,47,47,47,47,47.0,35,35,35,N
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieFailureTest.java,40,1,1,47,47,47,47,47,47,47.0,35,35,35,N
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieReadWriteTest.java,40,1,1,47,47,47,47,47,47,47.0,35,35,35,N
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieRecoveryTest.java,39,1,1,46,46,46,46,46,46,46.0,35,35,35,N
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalLedgerDeleteTest.java,40,1,1,47,47,47,47,47,47,47.0,35,35,35,N
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/LedgerLayoutTest.java,118,1,1,136,136,136,136,136,136,136.0,35,35,35,N
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/TestLedgerManager.java,235,1,1,261,261,261,261,261,261,261.0,35,35,35,N
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/proto/TestProtoVersions.java,101,2,1,115,114,113,57,226,113,113.0,34,27,17,N
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/AsyncLedgerOpsTest.java,212,5,3,298,278,256,14,1283,258,257.0,337,171,84,N
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BaseTestCase.java,223,13,3,395,326,176,7,2564,257,197.0,489,171,41,Y
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieClientTest.java,224,7,3,308,275,232,8,1637,242,234.0,406,171,68,Y
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieFailureTest.java,253,7,3,373,339,305,10,2128,305,304.0,397,171,66,Y
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieJournalRollingTest.java,193,3,2,275,247,222,25,657,222,219.0,51,43,17,Y
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieReadWriteTest.java,896,11,3,1354,1197,720,10,10466,1068,951.0,417,171,42,Y
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieZKExpireTest.java,81,3,3,106,99,90,11,272,92,91.0,214,171,71,Y
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/CloseTest.java,63,4,2,91,83,74,9,297,75,74.0,329,171,110,Y
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConcurrentLedgerTest.java,175,7,3,218,203,178,11,1276,188,182.0,421,171,70,N
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConditionalSetTest.java,106,3,2,126,122,116,20,351,118,117.0,148,97,49,N
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConfigurationTest.java,46,1,1,55,55,55,55,55,55,55.0,43,43,43,Y
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LedgerDeleteTest.java,136,5,3,200,177,163,14,807,164,161.0,372,171,93,N
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/LedgerRecoveryTest.java,96,5,3,152,133,88,10,491,114,98.0,0,0,0,Y
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LoopbackClient.java,103,6,3,142,131,117,11,708,120,118.0,399,171,80,N
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/NIOServerFactoryTest.java,55,4,3,73,68,60,10,243,63,61.0,275,171,92,N
1,hedwig-client/src/main/java/org/apache/hedwig/client/HedwigClient.java,64,1,1,72,72,72,72,72,72,72.0,29,29,29,N
