Dataset;#TrainingRelease;Classifier;Precision;Recall;AUC;Kappa
BOOKKEEPER;1;NaiveBayes;0.7222222222222222;0.36619718309859156;0.7921616656460502;0.38900166082303017;
BOOKKEEPER;1;IBk;0.45121951219512196;0.5211267605633803;0.6627372933251684;0.30893080298759035;
BOOKKEEPER;1;RandomForest;0.5263157894736842;0.5633802816901409;0.8440293937538274;0.3971902555671797;
BOOKKEEPER;2;NaiveBayes;0.1;0.3684210526315789;0.7203634085213032;0.09574029826151423;
BOOKKEEPER;2;IBk;0.06201550387596899;0.42105263157894735;0.5664786967418546;0.03532545363742303;
BOOKKEEPER;2;RandomForest;0.0989010989010989;0.47368421052631576;0.6928571428571428;0.09912562455389011;
BOOKKEEPER;3;NaiveBayes;0.0;0.0;0.8017172167707404;0.0;
BOOKKEEPER;3;IBk;0.4878048780487805;0.3389830508474576;0.6418599464763604;0.3256873687983209;
BOOKKEEPER;3;RandomForest;1.0;0.03389830508474576;0.8214986619090098;0.05726556907659279;
BOOKKEEPER;4;NaiveBayes;1.0;0.09545454545454546;0.6806894447834045;0.050684787274538554;
BOOKKEEPER;4;IBk;0.9803921568627451;0.11363636363636363;0.5564368517388651;0.05738399387685775;
BOOKKEEPER;4;RandomForest;0.9215686274509803;0.10681818181818181;0.675045759609518;0.042919298130722594;
BOOKKEEPER;5;NaiveBayes;0.4;0.01509433962264151;0.7315855311164391;-0.014759267149552644;
BOOKKEEPER;5;IBk;0.9069767441860465;0.8830188679245283;0.8752110914208276;0.7458505149298577;
BOOKKEEPER;5;RandomForest;0.894927536231884;0.9320754716981132;0.9363285729177525;0.7793613034966214;
