RELEASE ; FILENAME ; NR ; NAUTH; ChgSetSize ; BUGGYNESS 
1;bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java;4;2;475;No
1;bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java;5;2;476;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/bookie/Bookie.java;15;3;654;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/bookie/BookieException.java;4;3;461;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java;5;2;439;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java;10;3;607;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java;6;3;539;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java;8;3;604;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java;6;3;593;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java;4;3;473;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java;2;1;263;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java;6;3;463;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/BKException.java;5;3;468;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/BookKeeper.java;10;3;655;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java;5;2;534;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java;3;2;434;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/DigestManager.java;6;3;549;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java;4;3;451;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java;9;3;638;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java;5;3;560;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java;4;2;527;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java;13;3;672;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java;8;3;568;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java;10;3;645;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java;7;3;569;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java;5;3;455;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java;5;3;554;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java;5;3;554;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java;3;2;434;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/SyncCounter.java;3;2;434;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/proto/BookieClient.java;8;3;598;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java;5;3;468;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/proto/BookieServer.java;12;3;642;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java;4;3;467;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java;9;3;607;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java;10;3;608;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/proto/ServerStats.java;2;1;263;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java;4;2;527;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java;4;2;527;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java;7;3;557;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java;7;3;603;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/util/Main.java;4;3;467;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/util/MathUtils.java;3;2;434;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java;3;2;434;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java;4;2;527;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/util/StringUtils.java;4;3;467;No
1;bookkeeper/src/test/java/org/apache/bookkeeper/test/AsyncLedgerOpsTest.java;5;3;535;No
1;bookkeeper/src/test/java/org/apache/bookkeeper/test/BaseTestCase.java;13;3;670;No
1;bookkeeper/src/test/java/org/apache/bookkeeper/test/BookieClientTest.java;7;3;600;No
1;bookkeeper/src/test/java/org/apache/bookkeeper/test/BookieFailureTest.java;7;3;590;No
1;bookkeeper/src/test/java/org/apache/bookkeeper/test/BookieReadWriteTest.java;11;3;609;No
1;bookkeeper/src/test/java/org/apache/bookkeeper/test/BookieRecoveryTest.java;11;3;655;No
1;bookkeeper/src/test/java/org/apache/bookkeeper/test/CloseTest.java;4;2;527;No
1;bookkeeper/src/test/java/org/apache/bookkeeper/test/ConcurrentLedgerTest.java;7;3;608;No
1;bookkeeper/src/test/java/org/apache/bookkeeper/test/LedgerDeleteTest.java;5;3;566;No
1;bookkeeper/src/test/java/org/apache/bookkeeper/test/LedgerRecoveryTest.java;5;3;529;No
1;bookkeeper/src/test/java/org/apache/bookkeeper/test/LoopbackClient.java;6;3;593;No
1;bookkeeper/src/test/java/org/apache/bookkeeper/test/NIOServerFactoryTest.java;4;3;473;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java;3;2;406;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java;2;2;378;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java;2;2;378;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkPublisher.java;3;2;406;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java;4;2;499;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java;3;2;471;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java;2;2;378;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/HedwigBenchmark.java;5;3;500;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/conf/ClientConfiguration.java;3;2;471;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/data/MessageConsumeData.java;2;2;378;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java;2;2;378;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java;2;2;378;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/InvalidSubscriberIdException.java;1;1;207;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java;2;2;378;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/TooManyServerRedirectsException.java;2;2;378;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java;4;2;499;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PubSubCallback.java;3;2;471;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PublishResponseHandler.java;4;2;499;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeReconnectCallback.java;4;2;499;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeResponseHandler.java;6;3;501;No
