RELEASE;FILENAME;LOC;NR;NAUTH;ChgSetSize;MAX_ChgSet;AVG_ChgSet;BUGGYNESS
1;bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java;124;4;2;475;207;118,75;No
1;bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java;243;5;2;476;207;95,20;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/bookie/Bookie.java;517;15;3;654;207;43,60;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/bookie/BookieException.java;79;4;3;461;207;115,25;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java;163;5;2;439;207;87,80;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java;470;10;3;607;207;60,70;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java;115;6;3;539;207;89,83;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java;521;8;3;604;207;75,50;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java;127;6;3;593;207;98,83;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java;148;4;3;473;207;118,25;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java;124;2;1;263;207;131,50;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java;113;6;3;463;207;77,17;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/BKException.java;224;5;3;468;207;93,60;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/BookKeeper.java;373;10;3;655;207;65,50;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java;175;5;2;534;207;106,80;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java;45;3;2;434;207;144,67;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/DigestManager.java;156;6;3;549;207;91,50;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java;55;4;3;451;207;112,75;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java;146;9;3;638;207;70,89;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java;71;5;3;560;207;112,00;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java;71;4;2;527;207;131,75;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java;488;13;3;672;207;51,69;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java;170;8;3;568;207;71,00;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java;128;10;3;645;207;64,50;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java;151;7;3;569;207;81,29;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java;59;5;3;455;207;91,00;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java;120;5;3;554;207;110,80;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java;149;5;3;554;207;110,80;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java;69;3;2;434;207;144,67;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/SyncCounter.java;71;3;2;434;207;144,67;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/proto/BookieClient.java;153;8;3;598;207;74,75;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java;70;5;3;468;207;93,60;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/proto/BookieServer.java;193;12;3;642;207;53,50;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java;50;4;3;467;207;116,75;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java;461;9;3;607;207;67,44;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java;475;10;3;608;207;60,80;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/proto/ServerStats.java;121;2;1;263;207;131,50;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java;163;4;2;527;207;131,75;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java;136;4;2;527;207;131,75;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java;724;7;3;557;207;79,57;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java;198;7;3;603;207;86,14;No
