RELEASE;FILENAME;LOC;LOC_added;MAX_LOC_Added;AVG_LOC_Added;Churn;MAX_Churn;AVG_Churn;NR;NAUTH;ChgSetSize;MAX_ChgSet;AVG_ChgSet;BUGGYNESS
1;rest/src/main/java/org/syncope/rest/CreateUser.java;32;49;35;7;0;0;0;7;1;72;20;10;Yes
1;rest/src/main/java/org/syncope/rest/user/Create.java;42;64;48;13;0;0;0;5;1;65;20;13;No
1;rest/src/main/java/org/syncope/rest/user/Delete.java;45;64;51;13;0;0;0;5;1;65;20;13;No
1;rest/src/main/java/org/syncope/rest/user/Read.java;59;93;70;19;0;0;0;5;1;65;20;13;No
1;rest/src/main/java/org/syncope/rest/user/Search.java;48;81;55;16;0;0;0;5;1;65;20;13;No
1;rest/src/main/java/org/syncope/rest/user/Update.java;50;70;57;12;0;0;0;6;1;68;20;11;No
1;rest/src/main/java/org/syncope/rest/user/config/JAXBContextResolver.java;43;51;49;13;0;0;0;4;1;58;20;15;No
1;rest/src/main/java/org/syncope/rest/user/jaxb/AttributeValues.java;51;76;61;19;0;0;0;4;1;58;20;15;No
1;rest/src/main/java/org/syncope/rest/user/jaxb/AttributeXmlAdapter.java;72;90;90;30;0;0;0;3;1;47;20;16;No
1;rest/src/main/java/org/syncope/rest/user/jaxb/Attributes.java;44;71;52;18;0;0;0;4;1;58;20;15;No
1;rest/src/main/java/org/syncope/rest/user/PasswordReset.java;65;103;78;17;0;0;0;6;1;59;20;10;No
1;rest/src/main/java/org/syncope/rest/user/jaxb/SearchResults.java;52;61;61;20;0;0;0;3;1;48;20;16;No
1;rest/src/test/java/org/syncope/rest/user/ConnectionTestITCase.java;126;166;157;33;0;0;0;5;1;58;20;12;Yes
1;core/src/main/java/org/syncope/core/beans/SyncopeUser.java;48;202;58;16;0;0;0;13;1;264;60;20;Yes
1;core/src/main/java/org/syncope/core/dao/SyncopeUserDAO.java;23;119;29;4;4;29;0;34;3;3368;1096;99;Yes
1;core/src/main/java/org/syncope/core/dao/impl/SyncopeUserDAOImpl.java;49;1679;245;38;319;219;7;44;1;771;85;18;Yes
1;core/src/test/java/org/syncope/core/test/dao/SyncopeUserDAOTest.java;90;700;117;14;3;115;0;51;3;3685;1096;72;Yes
1;core/src/main/java/org/syncope/core/beans/UserAttributeSchema.java;103;790;126;16;5;126;0;50;3;3718;1096;74;Yes
1;core/src/main/java/org/syncope/core/dao/DAO.java;17;78;22;5;5;22;0;17;3;2977;1096;175;Yes
1;core/src/main/java/org/syncope/core/dao/UserAttributeSchemaDAO.java;23;36;29;9;0;0;0;4;1;147;60;37;Yes
1;core/src/main/java/org/syncope/core/dao/impl/AbstractDAOImpl.java;25;180;34;7;10;34;0;26;3;3107;1096;120;Yes
1;core/src/main/java/org/syncope/core/dao/impl/UserAttributeSchemaDAOImpl.java;45;96;51;14;0;0;0;7;1;191;60;27;Yes
1;core/src/main/java/org/syncope/core/enums/AttributeType.java;22;140;34;7;0;0;0;19;3;3004;1096;158;Yes
1;core/src/test/java/org/syncope/core/test/dao/AbstractDAOTest.java;67;321;78;9;-35;78;-1;35;3;3196;1096;91;Yes
1;core/src/test/java/org/syncope/core/test/dao/UserAttributeSchemaDAOTest.java;60;101;72;17;0;0;0;6;1;137;38;23;Yes
1;core/src/main/java/org/syncope/core/beans/UserAttributeValue.java;56;407;88;12;16;82;0;33;3;3224;1096;98;Yes
1;core/src/main/java/org/syncope/core/beans/UserAttributeValueAsBoolean.java;68;88;80;18;0;0;0;5;1;127;38;25;Yes
1;core/src/main/java/org/syncope/core/beans/UserAttributeValueAsDate.java;71;90;83;18;0;0;0;5;1;127;38;25;Yes
1;core/src/main/java/org/syncope/core/beans/UserAttributeValueAsDouble.java;68;88;80;18;0;0;0;5;1;127;38;25;Yes
1;core/src/main/java/org/syncope/core/beans/UserAttributeValueAsLong.java;67;86;79;17;0;0;0;5;1;127;38;25;Yes
1;core/src/main/java/org/syncope/core/beans/UserAttributeValueAsString.java;68;88;80;18;0;0;0;5;1;127;38;25;Yes
1;core/src/main/java/org/syncope/core/beans/UserAttributeValues.java;243;411;302;27;0;0;0;15;1;274;60;18;Yes
1;core/src/main/java/org/syncope/core/dao/UserAttributeValuesDAO.java;23;80;29;6;0;0;0;14;3;2990;1096;214;Yes
1;core/src/main/java/org/syncope/core/dao/impl/UserAttributeValuesDAOImpl.java;45;66;51;13;0;0;0;5;1;125;38;25;Yes
1;core/src/test/java/org/syncope/core/test/dao/UserAttributeValuesDAOTest.java;79;97;97;49;0;0;0;2;1;34;19;17;No
1;core/src/main/java/org/syncope/core/beans/UserDerivedAttribute.java;155;353;177;13;0;0;0;28;4;3283;1096;117;Yes
1;core/src/main/java/org/syncope/core/beans/UserDerivedAttributeSchema.java;73;129;87;16;0;0;0;8;1;216;60;27;Yes
1;core/src/main/java/org/syncope/core/dao/UserDerivedAttributeDAO.java;23;2;2;1;-29;0;-15;2;1;75;38;38;Yes
1;core/src/main/java/org/syncope/core/dao/UserDerivedAttributeSchemaDAO.java;23;2;2;1;-29;0;-15;2;1;75;38;38;Yes
1;core/src/main/java/org/syncope/core/dao/impl/UserAttributeDAOImpl.java;45;164;44;7;-51;42;-2;22;3;3109;1096;141;Yes
1;core/src/main/java/org/syncope/core/dao/impl/UserDerivedAttributeSchemaDAOImpl.java;46;58;53;15;0;0;0;4;1;110;38;28;Yes
1;core/src/test/java/org/syncope/core/test/dao/UserAttributeDAOTest.java;91;433;111;14;0;0;0;32;3;3529;1096;110;Yes
1;core/src/test/java/org/syncope/core/test/dao/UserDerivedAttributeDAOTest.java;102;149;125;50;0;0;0;3;1;94;38;31;Yes
1;core/src/test/java/org/syncope/core/test/dao/UserDerivedAttributeSchemaDAOTest.java;59;92;71;31;0;0;0;3;1;94;38;31;Yes
1;core/src/main/java/org/syncope/core/validation/EmailAddressValidator.java;40;99;47;7;0;0;0;14;3;2962;1096;212;Yes
1;core/src/main/java/org/syncope/core/validation/ParseException.java;23;27;26;14;26;26;13;2;1;54;38;27;No
1;core/src/main/java/org/syncope/core/validation/UserAttributeBasicValidator.java;28;97;32;6;0;0;0;15;3;2962;1096;197;Yes
1;core/src/main/java/org/syncope/core/validation/UserAttributeValidator.java;120;275;149;15;0;0;0;18;3;2992;1096;166;Yes
1;core/src/main/java/org/syncope/core/validation/ValidationException.java;26;32;30;8;0;0;0;4;1;136;59;34;Yes
1;core/src/main/java/org/syncope/core/validation/ValidationFailedException.java;21;68;24;6;5;24;0;12;3;2920;1096;243;Yes
1;core/src/main/java/org/syncope/core/validation/ValidatorInstantiationException.java;20;31;22;6;0;0;0;5;1;153;59;31;Yes
1;rest/src/main/java/org/syncope/rest/controller/UserController.java;116;3349;176;29;164;160;1;114;5;4604;1096;40;Yes
1;rest/src/main/java/org/syncope/rest/jackson/UnwrappedObjectMapper.java;83;131;101;19;0;0;0;7;3;2642;1096;377;Yes
1;rest/src/main/java/org/syncope/rest/to/AttributeTO.java;66;228;78;15;0;0;0;15;4;2757;1096;184;Yes
1;rest/src/main/java/org/syncope/rest/to/SearchCondition.java;38;48;46;12;0;0;0;4;1;50;20;13;Yes
1;rest/src/main/java/org/syncope/rest/to/SearchParameters.java;30;39;36;10;0;0;0;4;1;50;20;13;Yes
1;rest/src/main/java/org/syncope/rest/to/UserTO.java;88;490;104;16;6;104;0;31;3;3094;1096;100;Yes
1;rest/src/test/java/org/syncope/rest/test/RestUserTestITCase.java;102;3517;208;25;495;189;4;139;5;4999;1096;36;Yes
1;client/src/main/java/org/syncope/client/to/AttributeSchemaTO.java;18;249;67;10;13;67;1;26;3;2989;1096;115;Yes
1;core/src/main/java/org/syncope/core/validation/AlwaysTrueValidator.java;35;85;42;6;0;0;0;14;3;2901;1096;207;Yes
1;core/src/main/java/org/syncope/core/persistence/validation/ParseException.java;23;5;5;3;-2;2;-1;2;1;82;59;41;No
1;core/src/main/java/org/syncope/core/persistence/dao/DerivedAttributeDAO.java;23;40;13;4;-29;3;-3;10;3;2881;1096;288;Yes
1;core/src/main/java/org/syncope/core/persistence/dao/DerivedAttributeSchemaDAO.java;23;66;17;4;-29;17;-2;17;3;3000;1096;176;Yes
