TICKET ID ; IV ; OV ; FV ; AV 
BOOKKEEPER-1;1;1;1;[0]
BOOKKEEPER-5;1;1;1;[0]
BOOKKEEPER-18;1;1;1;[0]
BOOKKEEPER-19;1;1;1;[0]
BOOKKEEPER-22;1;1;1;[0]
BOOKKEEPER-27;1;1;1;[0]
BOOKKEEPER-28;1;1;1;[0]
BOOKKEEPER-29;1;1;1;[0]
BOOKKEEPER-38;1;1;1;[0]
BOOKKEEPER-39;1;1;1;[0]
BOOKKEEPER-40;1;1;2;[1]
BOOKKEEPER-43;1;1;1;[0]
BOOKKEEPER-50;1;1;1;[0]
BOOKKEEPER-51;1;1;1;[0]
BOOKKEEPER-52;1;1;1;[0]
BOOKKEEPER-53;1;1;1;[0]
BOOKKEEPER-55;1;1;3;[1, 2]
BOOKKEEPER-56;1;1;2;[1]
BOOKKEEPER-57;1;1;1;[0]
BOOKKEEPER-58;1;1;1;[0]
BOOKKEEPER-59;1;1;1;[0]
BOOKKEEPER-61;1;1;1;[0]
BOOKKEEPER-62;1;1;1;[0]
BOOKKEEPER-63;1;1;1;[0]
BOOKKEEPER-65;1;1;1;[0]
BOOKKEEPER-66;1;1;1;[0]
BOOKKEEPER-68;1;1;1;[0]
BOOKKEEPER-69;1;1;1;[0]
BOOKKEEPER-71;1;1;1;[0]
BOOKKEEPER-72;1;1;2;[1]
BOOKKEEPER-74;1;1;2;[1]
BOOKKEEPER-79;1;1;1;[0]
BOOKKEEPER-80;1;1;1;[0]
BOOKKEEPER-81;1;1;1;[0]
BOOKKEEPER-86;1;1;1;[0]
BOOKKEEPER-87;1;1;1;[0]
BOOKKEEPER-88;1;1;1;[0]
BOOKKEEPER-92;1;1;1;[0]
BOOKKEEPER-93;1;1;1;[0]
BOOKKEEPER-94;1;1;1;[0]
BOOKKEEPER-100;1;1;1;[0]
BOOKKEEPER-106;1;1;1;[0]
BOOKKEEPER-107;1;1;1;[0]
BOOKKEEPER-112;1;1;2;[1]
BOOKKEEPER-113;1;1;2;[1]
BOOKKEEPER-115;1;1;1;[0]
BOOKKEEPER-118;1;1;1;[0]
BOOKKEEPER-119;1;1;1;[0]
BOOKKEEPER-124;1;1;1;[0]
BOOKKEEPER-125;1;1;1;[0]
BOOKKEEPER-127;1;1;1;[0]
BOOKKEEPER-128;1;1;1;[0]
BOOKKEEPER-129;1;1;1;[0]
BOOKKEEPER-131;1;1;1;[0]
BOOKKEEPER-133;1;1;2;[1]
BOOKKEEPER-134;1;1;1;[0]
BOOKKEEPER-135;1;1;2;[1]
BOOKKEEPER-137;1;1;2;[1]
BOOKKEEPER-138;1;1;1;[0]
BOOKKEEPER-139;1;1;1;[0]
BOOKKEEPER-140;1;1;2;[1]
BOOKKEEPER-142;1;2;2;[1]
BOOKKEEPER-146;2;2;2;[0]
BOOKKEEPER-148;2;2;2;[0]
BOOKKEEPER-150;1;2;2;[1]
BOOKKEEPER-152;1;2;2;[1]
BOOKKEEPER-153;1;2;2;[1]
BOOKKEEPER-156;1;2;2;[1]
BOOKKEEPER-161;2;2;2;[0]
BOOKKEEPER-162;1;2;2;[1]
BOOKKEEPER-163;1;2;2;[1]
BOOKKEEPER-166;2;2;2;[0]
BOOKKEEPER-167;1;2;2;[1]
