TICKET ID ; IV ; OV ; FV ; AV
BOOKKEEPER-1105;12;12;13;[12]
BOOKKEEPER-1104;0;12;12;[null]
BOOKKEEPER-1103;12;12;12;[12]
BOOKKEEPER-1102;12;12;12;[12]
BOOKKEEPER-1098;0;12;12;[null]
BOOKKEEPER-1079;12;12;12;[12]
BOOKKEEPER-1077;0;12;12;[null]
BOOKKEEPER-1075;0;12;12;[null]
BOOKKEEPER-1074;0;12;12;[null]
BOOKKEEPER-1073;0;12;12;[null]
BOOKKEEPER-1072;0;12;12;[null]
BOOKKEEPER-1071;12;12;12;[12]
BOOKKEEPER-1061;0;12;12;[null]
BOOKKEEPER-1058;0;12;12;[null]
BOOKKEEPER-1047;0;12;12;[null]
BOOKKEEPER-1044;0;12;12;[null]
BOOKKEEPER-1031;11;12;12;[11]
BOOKKEEPER-1021;0;12;12;[null]
BOOKKEEPER-1020;12;12;12;[12]
BOOKKEEPER-1018;0;12;12;[null]
BOOKKEEPER-1013;0;12;12;[null]
BOOKKEEPER-999;11;12;12;[11]
BOOKKEEPER-989;0;12;12;[null]
BOOKKEEPER-988;0;12;12;[null]
BOOKKEEPER-987;12;12;12;[12]
BOOKKEEPER-986;0;12;12;[null]
BOOKKEEPER-984;0;12;12;[null]
BOOKKEEPER-980;0;12;12;[null]
BOOKKEEPER-959;11;12;12;[11]
BOOKKEEPER-958;0;12;12;[null]
BOOKKEEPER-957;0;12;12;[null]
BOOKKEEPER-956;0;12;12;[null]
BOOKKEEPER-955;0;12;12;[null]
BOOKKEEPER-952;0;12;12;[null]
BOOKKEEPER-940;12;12;12;[12]
BOOKKEEPER-939;0;12;12;[null]
BOOKKEEPER-938;12;12;12;[12]
BOOKKEEPER-933;0;12;12;[null]
BOOKKEEPER-927;10;11;12;[10]
BOOKKEEPER-926;9;11;11;[9]
BOOKKEEPER-925;0;11;11;[null]
BOOKKEEPER-924;10;11;12;[10]
BOOKKEEPER-921;11;11;11;[11]
BOOKKEEPER-917;11;11;11;[11]
BOOKKEEPER-914;0;11;11;[null]
BOOKKEEPER-913;0;11;11;[null]
BOOKKEEPER-911;10;11;11;[10]
BOOKKEEPER-910;10;11;11;[10]
BOOKKEEPER-909;10;11;11;[10]
BOOKKEEPER-908;10;11;12;[10]
BOOKKEEPER-907;0;11;12;[null]
BOOKKEEPER-904;11;11;11;[11]
BOOKKEEPER-903;0;11;12;[null]
BOOKKEEPER-902;0;11;11;[null]
BOOKKEEPER-900;10;11;11;[10]
BOOKKEEPER-899;10;11;11;[10]
BOOKKEEPER-898;10;11;11;[10]
BOOKKEEPER-897;0;11;11;[null]
BOOKKEEPER-893;10;11;11;[10]
BOOKKEEPER-891;0;11;11;[null]
BOOKKEEPER-890;10;11;11;[10]
BOOKKEEPER-883;0;11;11;[null]
BOOKKEEPER-872;0;10;10;[null]
BOOKKEEPER-863;0;10;10;[null]
