Dataset;#TrainingRelease;Classifier;Precision;Recall;AUC;Kappa
BOOKKEEPER;1;NaiveBayes;0.7105263157894737;0.38028169014084506;0.7949479485609308;0.3960894466129209;
BOOKKEEPER;1;IBk;0.48333333333333334;0.8169014084507042;0.7722902633190447;0.4419173815233246;
BOOKKEEPER;1;RandomForest;0.4788732394366197;0.4788732394366197;0.8339252908756889;0.3180036742192286;
BOOKKEEPER;2;NaiveBayes;0.09090909090909091;0.47368421052631576;0.7113408521303258;0.08617818484596165;
BOOKKEEPER;2;IBk;0.07758620689655173;0.47368421052631576;0.6119674185463659;0.06369287420019339;
BOOKKEEPER;2;RandomForest;0.07692307692307693;0.42105263157894735;0.6832080200501253;0.06138475372165043;
BOOKKEEPER;3;NaiveBayes;0.0;0.0;0.7963179807442102;0.0;
BOOKKEEPER;3;IBk;0.6111111111111112;0.36065573770491804;0.6618093503339405;0.39077269513759794;
BOOKKEEPER;3;RandomForest;1.0;0.01639344262295082;0.8159857750021684;0.02790079716563349;
BOOKKEEPER;4;NaiveBayes;1.0;0.09502262443438914;0.6809800843414289;0.04980076467646439;
BOOKKEEPER;4;IBk;0.9523809523809523;0.13574660633484162;0.49343583587281065;0.06199716239302096;
BOOKKEEPER;4;RandomForest;0.9464285714285714;0.11990950226244344;0.674623695632099;0.053031359456643896;
BOOKKEEPER;5;NaiveBayes;0.4;0.02247191011235955;0.7369593873579813;-0.022570948183624647;
BOOKKEEPER;5;IBk;0.8922558922558923;0.9925093632958801;0.9068692067876049;0.8368515051750479;
BOOKKEEPER;5;RandomForest;0.8881118881118881;0.951310861423221;0.9377733140836524;0.786293843303448;
