Dataset;#TrainingRelease;%training;%Defective in training;%Defective in testing;Classifier;Balancing;Feature Selection;Sensitivity;TP;FP;TN;FN;Precision;Recall;AUC;Kappa
BOOKKEEPER;1;7.29;53.72;38.61;Random Forest;No;No;No;42;38;148;75;0.53;0.36;0.76;0.16
BOOKKEEPER;1;7.29;53.72;38.61;Random Forest;No;No;Sensitive Threshold;0;0;186;117;0;0;0.5;0
BOOKKEEPER;1;7.29;53.72;38.61;Random Forest;No;No;Sensitive Learning;16;4;182;101;0.8;0.14;0.79;0.14
BOOKKEEPER;1;7.29;53.72;38.61;Random Forest;No;oversampling;No;49;37;149;68;0.57;0.42;0.76;0.23
BOOKKEEPER;1;7.29;53.72;38.61;Random Forest;No;oversampling;Sensitive Threshold;0;0;186;117;0;0;0.5;0
BOOKKEEPER;1;7.29;53.72;38.61;Random Forest;No;oversampling;Sensitive Learning;44;28;158;73;0.61;0.38;0.75;0.24
BOOKKEEPER;1;7.29;53.72;38.61;Random Forest;No;undersampling;No;63;46;140;54;0.58;0.54;0.8;0.29
BOOKKEEPER;1;7.29;53.72;38.61;Random Forest;No;undersampling;Sensitive Threshold;0;0;186;117;0;0;0.5;0
BOOKKEEPER;1;7.29;53.72;38.61;Random Forest;No;undersampling;Sensitive Learning;53;36;150;64;0.6;0.45;0.76;0.27
BOOKKEEPER;1;7.29;53.72;38.61;Random Forest;No;SMOTE;No;64;49;137;53;0.57;0.55;0.78;0.29
BOOKKEEPER;1;7.29;53.72;38.61;Random Forest;No;SMOTE;Sensitive Threshold;0;0;186;117;0;0;0.5;0
BOOKKEEPER;1;7.29;53.72;38.61;Random Forest;No;SMOTE;Sensitive Learning;6;2;184;111;0.75;0.05;0.82;0.05
BOOKKEEPER;1;7.29;53.72;38.61;Random Forest;Best first;No;No;73;53;133;44;0.58;0.62;0.76;0.33
BOOKKEEPER;1;7.29;53.72;38.61;Random Forest;Best first;No;Sensitive Threshold;0;0;186;117;0;0;0.5;0
BOOKKEEPER;1;7.29;53.72;38.61;Random Forest;Best first;No;Sensitive Learning;7;12;174;110;0.37;0.06;0.75;-0.01
BOOKKEEPER;1;7.29;53.72;38.61;Random Forest;Best first;oversampling;No;48;37;149;69;0.56;0.41;0.72;0.22
BOOKKEEPER;1;7.29;53.72;38.61;Random Forest;Best first;oversampling;Sensitive Threshold;0;1;185;117;0;0;0.5;-0.01
BOOKKEEPER;1;7.29;53.72;38.61;Random Forest;Best first;oversampling;Sensitive Learning;45;30;156;72;0.6;0.38;0.7;0.24
BOOKKEEPER;1;7.29;53.72;38.61;Random Forest;Best first;undersampling;No;63;49;137;54;0.56;0.54;0.75;0.28
BOOKKEEPER;1;7.29;53.72;38.61;Random Forest;Best first;undersampling;Sensitive Threshold;0;0;186;117;0;0;0.5;0
BOOKKEEPER;1;7.29;53.72;38.61;Random Forest;Best first;undersampling;Sensitive Learning;38;29;157;79;0.57;0.32;0.71;0.18
BOOKKEEPER;1;7.29;53.72;38.61;Random Forest;Best first;SMOTE;No;72;53;133;45;0.58;0.62;0.76;0.33
BOOKKEEPER;1;7.29;53.72;38.61;Random Forest;Best first;SMOTE;Sensitive Threshold;0;1;185;117;0;0;0.5;-0.01
BOOKKEEPER;1;7.29;53.72;38.61;Random Forest;Best first;SMOTE;Sensitive Learning;7;5;181;110;0.58;0.06;0.79;0.04
BOOKKEEPER;1;7.29;53.72;38.61;IBk;No;No;No;91;135;51;26;0.4;0.78;0.53;0.04
BOOKKEEPER;1;7.29;53.72;38.61;IBk;No;No;Sensitive Threshold;91;135;51;26;0.4;0.78;0.53;0.04
BOOKKEEPER;1;7.29;53.72;38.61;IBk;No;No;Sensitive Learning;91;135;51;26;0.4;0.78;0.53;0.04
BOOKKEEPER;1;7.29;53.72;38.61;IBk;No;oversampling;No;30;14;172;87;0.68;0.26;0.62;0.2
BOOKKEEPER;1;7.29;53.72;38.61;IBk;No;oversampling;Sensitive Threshold;30;14;172;87;0.68;0.26;0.59;0.2
BOOKKEEPER;1;7.29;53.72;38.61;IBk;No;oversampling;Sensitive Learning;16;10;176;101;0.62;0.14;0.56;0.1
BOOKKEEPER;1;7.29;53.72;38.61;IBk;No;undersampling;No;91;135;51;26;0.4;0.78;0.53;0.04
BOOKKEEPER;1;7.29;53.72;38.61;IBk;No;undersampling;Sensitive Threshold;91;135;51;26;0.4;0.78;0.53;0.04
BOOKKEEPER;1;7.29;53.72;38.61;IBk;No;undersampling;Sensitive Learning;14;5;181;103;0.74;0.12;0.56;0.11
BOOKKEEPER;1;7.29;53.72;38.61;IBk;No;SMOTE;No;102;142;44;15;0.42;0.87;0.55;0.09
BOOKKEEPER;1;7.29;53.72;38.61;IBk;No;SMOTE;Sensitive Threshold;102;142;44;15;0.42;0.87;0.55;0.09
BOOKKEEPER;1;7.29;53.72;38.61;IBk;No;SMOTE;Sensitive Learning;8;1;185;109;0.89;0.07;0.54;0.08
BOOKKEEPER;1;7.29;53.72;38.61;IBk;Best first;No;No;95;134;52;22;0.41;0.81;0.55;0.08
BOOKKEEPER;1;7.29;53.72;38.61;IBk;Best first;No;Sensitive Threshold;95;134;52;22;0.41;0.81;0.55;0.08
BOOKKEEPER;1;7.29;53.72;38.61;IBk;Best first;No;Sensitive Learning;95;134;52;22;0.41;0.81;0.55;0.08
BOOKKEEPER;1;7.29;53.72;38.61;IBk;Best first;oversampling;No;35;24;162;82;0.59;0.3;0.64;0.19
BOOKKEEPER;1;7.29;53.72;38.61;IBk;Best first;oversampling;Sensitive Threshold;35;24;162;82;0.59;0.3;0.59;0.19
BOOKKEEPER;1;7.29;53.72;38.61;IBk;Best first;oversampling;Sensitive Learning;23;16;170;94;0.59;0.2;0.59;0.13
