Dataset;#TrainingRelease;%Training;%DefectiveTraining;%DefectiveTesting;Classifier;Balancing;FeatureSelection;TP;FP;TN;FN;Precision;Recall;AUC;Kappa
bookkeeper;1;7.72;42.08;23.59;Random Forest;No;No;40;36;194;31;0.53;0.56;0.84;0.4
bookkeeper;1;7.72;42.08;23.59;Random Forest;Under Sampling;No;53;56;174;18;0.49;0.75;0.84;0.42
bookkeeper;1;7.72;42.08;23.59;Random Forest;Over Sampling;No;62;59;171;9;0.51;0.87;0.84;0.5
bookkeeper;1;7.72;42.08;23.59;Random Forest;SMOTE;No;64;72;158;7;0.47;0.9;0.85;0.45
bookkeeper;1;7.72;42.08;23.59;Random Forest;No;Best First;53;55;175;18;0.49;0.75;0.81;0.43
bookkeeper;1;7.72;42.08;23.59;Random Forest;Under Sampling;Best First;62;64;166;9;0.49;0.87;0.82;0.47
bookkeeper;1;7.72;42.08;23.59;Random Forest;Over Sampling;Best First;57;72;158;14;0.44;0.8;0.8;0.38
bookkeeper;1;7.72;42.08;23.59;Random Forest;SMOTE;Best First;67;84;146;4;0.44;0.94;0.82;0.42
bookkeeper;1;7.72;42.08;23.59;Naive Bayes;No;No;26;10;220;45;0.72;0.37;0.79;0.39
bookkeeper;1;7.72;42.08;23.59;Naive Bayes;Under Sampling;No;27;11;219;44;0.71;0.38;0.8;0.4
bookkeeper;1;7.72;42.08;23.59;Naive Bayes;Over Sampling;No;32;20;210;39;0.62;0.45;0.8;0.4
bookkeeper;1;7.72;42.08;23.59;Naive Bayes;SMOTE;No;26;9;221;45;0.74;0.37;0.8;0.4
bookkeeper;1;7.72;42.08;23.59;Naive Bayes;No;Best First;34;18;212;37;0.65;0.48;0.85;0.44
bookkeeper;1;7.72;42.08;23.59;Naive Bayes;Under Sampling;Best First;32;15;215;39;0.68;0.45;0.84;0.44
bookkeeper;1;7.72;42.08;23.59;Naive Bayes;Over Sampling;Best First;34;21;209;37;0.62;0.48;0.82;0.42
bookkeeper;1;7.72;42.08;23.59;Naive Bayes;SMOTE;Best First;33;19;211;38;0.63;0.46;0.85;0.42
bookkeeper;1;7.72;42.08;23.59;IBk;No;No;37;45;185;34;0.45;0.52;0.66;0.31
bookkeeper;1;7.72;42.08;23.59;IBk;Under Sampling;No;39;46;184;32;0.46;0.55;0.67;0.33
bookkeeper;1;7.72;42.08;23.59;IBk;Over Sampling;No;34;35;195;37;0.49;0.48;0.61;0.33
bookkeeper;1;7.72;42.08;23.59;IBk;SMOTE;No;37;46;184;34;0.45;0.52;0.66;0.3
bookkeeper;1;7.72;42.08;23.59;IBk;No;Best First;60;73;157;11;0.45;0.85;0.76;0.41
bookkeeper;1;7.72;42.08;23.59;IBk;Under Sampling;Best First;61;87;143;10;0.41;0.86;0.74;0.35
bookkeeper;1;7.72;42.08;23.59;IBk;Over Sampling;Best First;55;82;148;16;0.4;0.77;0.76;0.32
bookkeeper;1;7.72;42.08;23.59;IBk;SMOTE;Best First;61;73;157;10;0.46;0.86;0.77;0.41
bookkeeper;2;17.41;31.79;4.33;Random Forest;No;No;9;82;338;10;0.1;0.47;0.69;0.1
bookkeeper;2;17.41;31.79;4.33;Random Forest;Under Sampling;No;13;155;265;6;0.08;0.68;0.72;0.07
bookkeeper;2;17.41;31.79;4.33;Random Forest;Over Sampling;No;13;157;263;6;0.08;0.68;0.69;0.06
bookkeeper;2;17.41;31.79;4.33;Random Forest;SMOTE;No;10;134;286;9;0.07;0.53;0.69;0.05
bookkeeper;2;17.41;31.79;4.33;Random Forest;No;Best First;6;84;336;13;0.07;0.32;0.7;0.04
bookkeeper;2;17.41;31.79;4.33;Random Forest;Under Sampling;Best First;15;168;252;4;0.08;0.79;0.72;0.08
bookkeeper;2;17.41;31.79;4.33;Random Forest;Over Sampling;Best First;12;155;265;7;0.07;0.63;0.64;0.06
bookkeeper;2;17.41;31.79;4.33;Random Forest;SMOTE;Best First;11;136;284;8;0.07;0.58;0.69;0.06
