RELEASE;FILENAME;LOC;LOC_added;MAX_LOC_Added;AVG_LOC_Added;Churn;MAX_Churn;AVG_Churn;NR;NAUTH;ChgSetSize;MAX_ChgSet;AVG_ChgSet;BUGGYNESS
1;rest/src/main/java/org/syncope/rest/CreateUser.java;32;49;35;7,00;0;0;0;7;1;72;20;10,29;Yes
1;rest/src/main/java/org/syncope/rest/user/Create.java;42;64;48;12,80;0;0;0;5;1;65;20;13,00;No
1;rest/src/main/java/org/syncope/rest/user/Delete.java;45;64;51;12,80;0;0;0;5;1;65;20;13,00;No
1;rest/src/main/java/org/syncope/rest/user/Read.java;59;93;70;18,60;0;0;0;5;1;65;20;13,00;No
1;rest/src/main/java/org/syncope/rest/user/Search.java;48;81;55;16,20;0;0;0;5;1;65;20;13,00;No
1;rest/src/main/java/org/syncope/rest/user/Update.java;50;70;57;11,67;0;0;0;6;1;68;20;11,33;No
1;rest/src/main/java/org/syncope/rest/user/config/JAXBContextResolver.java;43;51;49;12,75;0;0;0;4;1;58;20;14,50;No
1;rest/src/main/java/org/syncope/rest/user/jaxb/AttributeValues.java;51;76;61;19,00;0;0;0;4;1;58;20;14,50;No
1;rest/src/main/java/org/syncope/rest/user/jaxb/AttributeXmlAdapter.java;72;90;90;30,00;0;0;0;3;1;47;20;15,67;No
1;rest/src/main/java/org/syncope/rest/user/jaxb/Attributes.java;44;71;52;17,75;0;0;0;4;1;58;20;14,50;No
1;rest/src/main/java/org/syncope/rest/user/PasswordReset.java;65;103;78;17,17;0;0;0;6;1;59;20;9,83;No
1;rest/src/main/java/org/syncope/rest/user/jaxb/SearchResults.java;52;61;61;20,33;0;0;0;3;1;48;20;16,00;No
1;rest/src/test/java/org/syncope/rest/user/ConnectionTestITCase.java;126;166;157;33,20;0;0;0;5;1;58;20;11,60;Yes
1;core/src/main/java/org/syncope/core/beans/SyncopeUser.java;48;202;58;15,54;0;0;0;13;1;264;60;20,31;Yes
1;core/src/main/java/org/syncope/core/dao/SyncopeUserDAO.java;23;119;29;3,50;4;29;0,12;34;3;3368;1096;99,06;Yes
1;core/src/main/java/org/syncope/core/dao/impl/SyncopeUserDAOImpl.java;49;1679;245;38,16;319;219;7,25;44;1;771;85;17,52;Yes
1;core/src/test/java/org/syncope/core/test/dao/SyncopeUserDAOTest.java;90;700;117;13,73;3;115;0,06;51;3;3685;1096;72,25;Yes
1;core/src/main/java/org/syncope/core/beans/UserAttributeSchema.java;103;790;126;15,80;5;126;0,10;50;3;3718;1096;74,36;Yes
1;core/src/main/java/org/syncope/core/dao/DAO.java;17;78;22;4,59;5;22;0,29;17;3;2977;1096;175,12;Yes
1;core/src/main/java/org/syncope/core/dao/UserAttributeSchemaDAO.java;23;36;29;9,00;0;0;0;4;1;147;60;36,75;Yes
1;core/src/main/java/org/syncope/core/dao/impl/AbstractDAOImpl.java;25;180;34;6,92;10;34;0,38;26;3;3107;1096;119,50;Yes
1;core/src/main/java/org/syncope/core/dao/impl/UserAttributeSchemaDAOImpl.java;45;96;51;13,71;0;0;0;7;1;191;60;27,29;Yes
1;core/src/main/java/org/syncope/core/enums/AttributeType.java;22;140;34;7,37;0;0;0;19;3;3004;1096;158,11;Yes
1;core/src/test/java/org/syncope/core/test/dao/AbstractDAOTest.java;67;321;78;9,17;-35;78;-1,00;35;3;3196;1096;91,31;Yes
1;core/src/test/java/org/syncope/core/test/dao/UserAttributeSchemaDAOTest.java;60;101;72;16,83;0;0;0;6;1;137;38;22,83;Yes
1;core/src/main/java/org/syncope/core/beans/UserAttributeValue.java;56;407;88;12,33;16;82;0,48;33;3;3224;1096;97,70;Yes
1;core/src/main/java/org/syncope/core/beans/UserAttributeValueAsBoolean.java;68;88;80;17,60;0;0;0;5;1;127;38;25,40;Yes
1;core/src/main/java/org/syncope/core/beans/UserAttributeValueAsDate.java;71;90;83;18,00;0;0;0;5;1;127;38;25,40;Yes
1;core/src/main/java/org/syncope/core/beans/UserAttributeValueAsDouble.java;68;88;80;17,60;0;0;0;5;1;127;38;25,40;Yes
1;core/src/main/java/org/syncope/core/beans/UserAttributeValueAsLong.java;67;86;79;17,20;0;0;0;5;1;127;38;25,40;Yes
1;core/src/main/java/org/syncope/core/beans/UserAttributeValueAsString.java;68;88;80;17,60;0;0;0;5;1;127;38;25,40;Yes
1;core/src/main/java/org/syncope/core/beans/UserAttributeValues.java;243;411;302;27,40;0;0;0;15;1;274;60;18,27;Yes
1;core/src/main/java/org/syncope/core/dao/UserAttributeValuesDAO.java;23;80;29;5,71;0;0;0;14;3;2990;1096;213,57;Yes
1;core/src/main/java/org/syncope/core/dao/impl/UserAttributeValuesDAOImpl.java;45;66;51;13,20;0;0;0;5;1;125;38;25,00;Yes
1;core/src/test/java/org/syncope/core/test/dao/UserAttributeValuesDAOTest.java;79;97;97;48,50;0;0;0;2;1;34;19;17,00;No
1;core/src/main/java/org/syncope/core/beans/UserDerivedAttribute.java;155;353;177;12,61;0;0;0;28;4;3283;1096;117,25;Yes
1;core/src/main/java/org/syncope/core/beans/UserDerivedAttributeSchema.java;73;129;87;16,13;0;0;0;8;1;216;60;27,00;Yes
