Dataset;#TrainingRelease;%training;%Defective in training;%Defective in testing;Classifier;Feature Selection;Balancing;Sensitivity;TP;FP;TN;FN;Precision;Recall;AUC;Kappa
SYNCOPE;1;4.12;26.98;30.31;Random Forest;No;No;No;383;10;157;1;0.97;1;0.98;0.95
SYNCOPE;1;4.12;26.98;30.31;Random Forest;No;No;Sensitive Threshold;0;0;167;384;0;0;0.5;0
SYNCOPE;1;4.12;26.98;30.31;Random Forest;No;No;Sensitive Learning;221;2;165;163;0.99;0.58;0.99;0.44
SYNCOPE;1;4.12;26.98;30.31;Random Forest;No;oversampling;No;382;26;141;2;0.94;0.99;0.95;0.87
SYNCOPE;1;4.12;26.98;30.31;Random Forest;No;oversampling;Sensitive Threshold;0;0;167;384;0;0;0.5;0
SYNCOPE;1;4.12;26.98;30.31;Random Forest;No;oversampling;Sensitive Learning;148;4;163;236;0.97;0.39;0.94;0.26
SYNCOPE;1;4.12;26.98;30.31;Random Forest;No;undersampling;No;169;3;164;215;0.98;0.44;0.98;0.31
SYNCOPE;1;4.12;26.98;30.31;Random Forest;No;undersampling;Sensitive Threshold;0;0;167;384;0;0;0.5;0
SYNCOPE;1;4.12;26.98;30.31;Random Forest;No;undersampling;Sensitive Learning;93;13;154;291;0.88;0.24;0.73;0.11
SYNCOPE;1;4.12;26.98;30.31;Random Forest;No;SMOTE;No;257;2;165;127;0.99;0.67;0.99;0.54
SYNCOPE;1;4.12;26.98;30.31;Random Forest;No;SMOTE;Sensitive Threshold;0;0;167;384;0;0;0.5;0
SYNCOPE;1;4.12;26.98;30.31;Random Forest;No;SMOTE;Sensitive Learning;174;1;166;210;0.99;0.45;0.98;0.33
SYNCOPE;1;4.12;26.98;30.31;Random Forest;Best first;No;No;382;5;162;2;0.99;0.99;0.98;0.97
SYNCOPE;1;4.12;26.98;30.31;Random Forest;Best first;No;Sensitive Threshold;116;1;166;268;0.99;0.3;0.65;0.2
SYNCOPE;1;4.12;26.98;30.31;Random Forest;Best first;No;Sensitive Learning;381;3;164;3;0.99;0.99;0.99;0.97
SYNCOPE;1;4.12;26.98;30.31;Random Forest;Best first;oversampling;No;382;26;141;2;0.94;0.99;0.95;0.87
SYNCOPE;1;4.12;26.98;30.31;Random Forest;Best first;oversampling;Sensitive Threshold;130;2;165;254;0.98;0.34;0.66;0.23
SYNCOPE;1;4.12;26.98;30.31;Random Forest;Best first;oversampling;Sensitive Learning;383;24;143;1;0.94;1;0.94;0.89
SYNCOPE;1;4.12;26.98;30.31;Random Forest;Best first;undersampling;No;382;5;162;2;0.99;0.99;0.98;0.97
SYNCOPE;1;4.12;26.98;30.31;Random Forest;Best first;undersampling;Sensitive Threshold;0;0;167;384;0;0;0.5;0
SYNCOPE;1;4.12;26.98;30.31;Random Forest;Best first;undersampling;Sensitive Learning;382;98;69;2;0.8;0.99;0.74;0.49
SYNCOPE;1;4.12;26.98;30.31;Random Forest;Best first;SMOTE;No;381;3;164;3;0.99;0.99;0.99;0.97
SYNCOPE;1;4.12;26.98;30.31;Random Forest;Best first;SMOTE;Sensitive Threshold;0;0;167;384;0;0;0.5;0
SYNCOPE;1;4.12;26.98;30.31;Random Forest;Best first;SMOTE;Sensitive Learning;174;1;166;210;0.99;0.45;0.97;0.33
SYNCOPE;1;4.12;26.98;30.31;IBk;No;No;No;335;149;18;49;0.69;0.87;0.49;-0.02
SYNCOPE;1;4.12;26.98;30.31;IBk;No;No;Sensitive Threshold;335;149;18;49;0.69;0.87;0.49;-0.02
SYNCOPE;1;4.12;26.98;30.31;IBk;No;No;Sensitive Learning;335;149;18;49;0.69;0.87;0.49;-0.02
SYNCOPE;1;4.12;26.98;30.31;IBk;No;oversampling;No;243;112;55;141;0.68;0.63;0.45;-0.04
SYNCOPE;1;4.12;26.98;30.31;IBk;No;oversampling;Sensitive Threshold;243;112;55;141;0.68;0.63;0.48;-0.04
SYNCOPE;1;4.12;26.98;30.31;IBk;No;oversampling;Sensitive Learning;358;150;17;26;0.7;0.93;0.47;0.04
SYNCOPE;1;4.12;26.98;30.31;IBk;No;undersampling;No;303;137;30;81;0.69;0.79;0.48;-0.03
SYNCOPE;1;4.12;26.98;30.31;IBk;No;undersampling;Sensitive Threshold;303;137;30;81;0.69;0.79;0.48;-0.03
SYNCOPE;1;4.12;26.98;30.31;IBk;No;undersampling;Sensitive Learning;87;38;129;297;0.7;0.23;0.51;0
SYNCOPE;1;4.12;26.98;30.31;IBk;No;SMOTE;No;268;119;48;116;0.69;0.7;0.49;-0.01
SYNCOPE;1;4.12;26.98;30.31;IBk;No;SMOTE;Sensitive Threshold;268;119;48;116;0.69;0.7;0.49;-0.01
SYNCOPE;1;4.12;26.98;30.31;IBk;No;SMOTE;Sensitive Learning;350;155;12;34;0.69;0.91;0.49;-0.02
SYNCOPE;1;4.12;26.98;30.31;IBk;Best first;No;No;382;5;162;2;0.99;0.99;0.99;0.97
SYNCOPE;1;4.12;26.98;30.31;IBk;Best first;No;Sensitive Threshold;381;3;164;3;0.99;0.99;0.99;0.97
SYNCOPE;1;4.12;26.98;30.31;IBk;Best first;No;Sensitive Learning;381;3;164;3;0.99;0.99;0.99;0.97
SYNCOPE;1;4.12;26.98;30.31;IBk;Best first;oversampling;No;198;2;165;186;0.99;0.52;0.95;0.38
SYNCOPE;1;4.12;26.98;30.31;IBk;Best first;oversampling;Sensitive Threshold;198;2;165;186;0.99;0.52;0.75;0.38
SYNCOPE;1;4.12;26.98;30.31;IBk;Best first;oversampling;Sensitive Learning;121;2;165;263;0.98;0.32;0.94;0.21
SYNCOPE;1;4.12;26.98;30.31;IBk;Best first;undersampling;No;142;2;165;242;0.99;0.37;0.98;0.25
SYNCOPE;1;4.12;26.98;30.31;IBk;Best first;undersampling;Sensitive Threshold;142;2;165;242;0.99;0.37;0.68;0.25
SYNCOPE;1;4.12;26.98;30.31;IBk;Best first;undersampling;Sensitive Learning;55;1;166;329;0.98;0.14;0.74;0.09
SYNCOPE;1;4.12;26.98;30.31;IBk;Best first;SMOTE;No;381;3;164;3;0.99;0.99;0.99;0.97
SYNCOPE;1;4.12;26.98;30.31;IBk;Best first;SMOTE;Sensitive Threshold;381;3;164;3;0.99;0.99;0.99;0.97
SYNCOPE;1;4.12;26.98;30.31;IBk;Best first;SMOTE;Sensitive Learning;174;1;166;210;0.99;0.45;0.97;0.33
SYNCOPE;1;4.12;26.98;30.31;Naive Bayes;No;No;No;381;162;5;3;0.7;0.99;0.96;0.03
SYNCOPE;1;4.12;26.98;30.31;Naive Bayes;No;No;Sensitive Threshold;373;153;14;11;0.71;0.97;0.53;0.07
SYNCOPE;1;4.12;26.98;30.31;Naive Bayes;No;No;Sensitive Learning;376;152;15;8;0.71;0.98;0.97;0.09
SYNCOPE;1;4.12;26.98;30.31;Naive Bayes;No;oversampling;No;374;156;11;10;0.71;0.97;0.91;0.05
SYNCOPE;1;4.12;26.98;30.31;Naive Bayes;No;oversampling;Sensitive Threshold;363;41;126;21;0.9;0.95;0.85;0.72
SYNCOPE;1;4.12;26.98;30.31;Naive Bayes;No;oversampling;Sensitive Learning;384;39;128;0;0.91;1;0.93;0.82
SYNCOPE;1;4.12;26.98;30.31;Naive Bayes;No;undersampling;No;384;166;1;0;0.7;1;0.98;0.01
SYNCOPE;1;4.12;26.98;30.31;Naive Bayes;No;undersampling;Sensitive Threshold;138;2;165;246;0.99;0.36;0.67;0.25
SYNCOPE;1;4.12;26.98;30.31;Naive Bayes;No;undersampling;Sensitive Learning;384;167;0;0;0.7;1;0.73;0
SYNCOPE;1;4.12;26.98;30.31;Naive Bayes;No;SMOTE;No;382;136;31;2;0.74;0.99;0.97;0.23
SYNCOPE;1;4.12;26.98;30.31;Naive Bayes;No;SMOTE;Sensitive Threshold;347;3;164;37;0.99;0.9;0.94;0.84
SYNCOPE;1;4.12;26.98;30.31;Naive Bayes;No;SMOTE;Sensitive Learning;374;147;20;10;0.72;0.97;0.93;0.12
SYNCOPE;1;4.12;26.98;30.31;Naive Bayes;Best first;No;No;384;167;0;0;0.7;1;0.99;0
SYNCOPE;1;4.12;26.98;30.31;Naive Bayes;Best first;No;Sensitive Threshold;0;0;167;384;0;0;0.5;0
SYNCOPE;1;4.12;26.98;30.31;Naive Bayes;Best first;No;Sensitive Learning;381;3;164;3;0.99;0.99;0.99;0.97
SYNCOPE;1;4.12;26.98;30.31;Naive Bayes;Best first;oversampling;No;198;2;165;186;0.99;0.52;0.95;0.38
SYNCOPE;1;4.12;26.98;30.31;Naive Bayes;Best first;oversampling;Sensitive Threshold;1;0;167;383;1;0;0.5;0
SYNCOPE;1;4.12;26.98;30.31;Naive Bayes;Best first;oversampling;Sensitive Learning;121;2;165;263;0.98;0.32;0.94;0.21
SYNCOPE;1;4.12;26.98;30.31;Naive Bayes;Best first;undersampling;No;142;2;165;242;0.99;0.37;0.98;0.25
SYNCOPE;1;4.12;26.98;30.31;Naive Bayes;Best first;undersampling;Sensitive Threshold;0;0;167;384;0;0;0.5;0
SYNCOPE;1;4.12;26.98;30.31;Naive Bayes;Best first;undersampling;Sensitive Learning;55;1;166;329;0.98;0.14;0.74;0.09
